BubbleC	InsertionC	SelectionC	SortC	BubbleJ	InsertionJ	SelectionJ	SortJ
0.2772	0.0552 	0.0913	0.0013	0.1377582	0.0114769	0.0440523	0.0020183
0.2463	0.0543 	0.09	0.0019	0.1395362	0.0102725	0.0428541	0.0014553
0.2565	0.0534 	0.0897	0.0015	0.1012283	0.0063667	0.042217	0.0014546
0.2826	0.0536 	0.0902	0.0014	0.1331228	0.0064982	0.0224332	0.0014603
0.2763	0.0561 	0.0908	0.0016	0.1433668	0.0064894	0.0233925	0.0014507
0.2985	0.0522 	0.0894	0.0027	0.1392478	0.0064956	0.0222075	0.0012009
0.2825	0.0562 	0.0899	0.0021	0.1055162	0.0065164	0.0225983	0.0011824
0.2767	0.0539 	0.0906	0.0019	0.1115674	0.0066142	0.0477537	0.0011741
0.2648	0.0537 	0.0891	0.0018	0.1105046	0.0069928	0.0220117	0.0011821
0.2711	0.0543 	0.0893	0.0012	0.1101361	0.0066245	0.0220558	0.0011985
0.2765	0.0540	0.089	0.0013	0.1164661	0.0064627	0.0221863	0.0011859
0.2767	0.0542 	0.0907	0.0017	0.1119424	0.0064168	0.0225639	0.0026926
0.2712	0.0535 	0.0885	0.0016	0.1126311	0.0065064	0.0225534	0.001267
0.2543	0.0544 	0.0904	0.0024	0.1101144	0.0064977	0.0220546	0.0010949
0.2659	0.0542 	0.0892	0.0028	0.102252	 0.00647	0.0220638	9,70E-01
0.2791	0.0531 	0.0896	0.0025	0.0985462	0.006493	0.0220821	0.0010098
0.2696	0.0551 	0.0890	0.0013	0.1016614	0.0064928	0.0219788	9,53E-01
0.273	0.0550 	0.0910	0.0016	0.1038185	0.0064468	0.0221714	9,45E-01
0.2654	0.0546 	0.0895	0.0019	0.1052263	0.0064973	0.0225133	8,73E-01
0.3424	0.0553 	0.0890	0.0014	0.1008879	0.0064156	0.0220348	8,69E-01
0.2971	0.0565 	0.0909	0.0023	0.1006031	0.0065245	0.0220208	8,69E-01
0.2735	0.0551	0.0901	0.0019	0.0982	        0.0063916	0.0220979	8,69E-01
0.2748	0.0555 	0.083	0.0017	0.1025813	0.0065386	0.022027	8,87E-01
0.284	0.0542 	0.0932	0.0018	0.0978053	0.0063684	0.0221221	8,68E-01
0.5844	0.0543 	0.0889	0.0014	0.0991521	0.0063831	0.0227155	8,68E-01
0.2761	0.0559 	0.0914	0.0018	0.1026469	0.0065016	0.0220709	8.79E-4
